Policy,Avg_AoI,Variance,Peak_AoI,P95_AoI,Spike_Freq
Greedy,9.87,69.11,33.65,26.07,0.1
Periodic,8.19,57.27,30.96,23.56,0.07
Threshold,8.37,58.15,31.34,23.79,0.08
RL,25.64,680.27,64.22,56.2,0.24
